Дата,Время,Команда_1,Команда_2,счёт,стадион
02.11.2015,19:30,ФК Ростов,Динамо,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
02.11.2015,19:00,Амкар,Терек,1:0 (0:0),ПермьСтадион Звезда
01.11.2015,19:30,Спартак,Урал,0:1 (0:0),МоскваОткрытие Арена
01.11.2015,19:00,Кубань,Локомотив,6:2 (5:0),КраснодарСтадион Кубань
01.11.2015,16:30,Анжи,Рубин,1:2 (0:2),КаспийскАнжи-Арена
01.11.2015,15:00,Крылья Советов,ФК Краснодар,0:4 (0:1),СамараСтадион Металлург
31.10.2015,17:00,Зенит,Мордовия,0:0,Санкт-ПетербургСтадион Петровский
31.10.2015,14:30,ЦСКА,ФК Уфа,2:0 (1:0),ХимкиАрена Химки
26.10.2015,19:30,Локомотив,ФК Ростов,0:2 (0:0),МоскваСтадион Локомотив
25.10.2015,19:00,Терек,ЦСКА,0:0,ГрозныйСтадион им. А.А. Кадырова
25.10.2015,16:30,ФК Краснодар,Рубин,2:1 (2:1),КраснодарСтадион Кубань
25.10.2015,13:30,Динамо,Спартак,2:3 (1:1),ХимкиАрена Химки
24.10.2015,17:00,Зенит,Анжи,5:1 (1:0),Санкт-ПетербургСтадион Петровский
24.10.2015,14:30,Мордовия,Кубань,1:1 (0:0),СаранскСтадион Старт
24.10.2015,14:00,Урал,Амкар,3:1 (1:0),ЕкатеринбургСКБ-Банк Арена
23.10.2015,19:00,ФК Уфа,Крылья Советов,1:0 (0:0),УфаСтадион Нефтяник
19.10.2015,19:00,ФК Ростов,Мордовия,3:2 (1:1),Ростов-на-ДонуСтадион Олимп-2
18.10.2015,18:30,Анжи,ФК Краснодар,2:2 (2:0),КаспийскАнжи-Арена
18.10.2015,17:00,Крылья Советов,Терек,0:2 (0:0),СамараСтадион Металлург
18.10.2015,13:30,Спартак,Локомотив,1:2 (0:1),МоскваОткрытие Арена
17.10.2015,19:00,Рубин,ФК Уфа,3:1 (1:1),КазаньЦентральный стадион
17.10.2015,18:30,Амкар,Динамо,1:1 (0:0),ПермьСтадион Звезда
17.10.2015,16:30,Кубань,Зенит,2:2 (1:1),КраснодарСтадион Кубань
17.10.2015,14:00,ЦСКА,Урал,3:2 (2:1),ХимкиАрена Химки
04.10.2015,19:00,Локомотив,Амкар,3:0 (1:0),МоскваСтадион Локомотив
04.10.2015,18:00,ФК Уфа,ФК Краснодар,1:1 (0:0),УфаСтадион Нефтяник
04.10.2015,16:00,Терек,Рубин,2:1 (2:0),ГрозныйСтадион им. А.А. Кадырова
04.10.2015,13:30,Динамо,ЦСКА,0:2 (0:0),ХимкиАрена Химки
03.10.2015,19:30,Кубань,Анжи,1:1 (1:0),КраснодарСтадион Кубань
03.10.2015,17:00,Зенит,ФК Ростов,3:0 (2:0),Санкт-ПетербургСтадион Петровский
03.10.2015,14:30,Мордовия,Спартак,0:1 (0:1),СаранскСтадион Старт
02.10.2015,19:00,Урал,Крылья Советов,1:1 (1:1),ЕкатеринбургСКБ-Банк Арена
28.09.2015,19:00,ФК Ростов,Кубань,2:1 (1:1),Ростов-на-ДонуСтадион Олимп-2
28.09.2015,18:30,Амкар,Мордовия,2:1 (0:1),ПермьСтадион Звезда
27.09.2015,19:00,Рубин,Урал,1:2 (1:1),КазаньЦентральный стадион
27.09.2015,16:30,ФК Краснодар,Терек,1:1 (0:0),КраснодарСтадион Кубань
27.09.2015,14:30,Крылья Советов,Динамо,0:0,СамараСтадион Металлург
26.09.2015,19:00,Спартак,Зенит,2:2 (1:1),МоскваОткрытие Арена
26.09.2015,16:30,Анжи,ФК Уфа,1:1 (0:0),КаспийскАнжи-Арена
26.09.2015,14:00,ЦСКА,Локомотив,1:1 (1:1),ХимкиАрена Химки
21.09.2015,19:00,Динамо,Рубин,0:0,ХимкиАрена Химки
21.09.2015,18:30,Урал,ФК Краснодар,3:1 (1:1),ЕкатеринбургСКБ-Банк Арена
20.09.2015,19:30,Локомотив,Крылья Советов,2:0 (0:0),МоскваСтадион Локомотив
20.09.2015,17:00,Зенит,Амкар,1:1 (1:0),Санкт-ПетербургСтадион Петровский
20.09.2015,13:30,Мордовия,ЦСКА,4:6 (3:0),СаранскСтадион Старт
19.09.2015,19:00,Кубань,Спартак,3:0 (2:0),КраснодарСтадион Кубань
19.09.2015,16:00,Терек,ФК Уфа,4:1 (2:0),ГрозныйСтадион им. А.А. Кадырова
18.09.2015,19:00,ФК Ростов,Анжи,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
14.09.2015,19:30,Крылья Советов,Мордовия,1:0 (1:0),СамараСтадион Металлург
14.09.2015,18:00,ФК Уфа,Урал,0:1 (0:1),УфаСтадион Нефтяник
13.09.2015,19:00,Анжи,Терек,0:2 (0:0),КаспийскАнжи-Арена
13.09.2015,16:30,ФК Краснодар,Динамо,4:0 (2:0),КраснодарСтадион Кубань
13.09.2015,13:30,Спартак,ФК Ростов,1:0 (1:0),МоскваОткрытие Арена
12.09.2015,19:00,Рубин,Локомотив,3:1 (2:0),КазаньЦентральный стадион
12.09.2015,18:30,Амкар,Кубань,1:1 (0:1),ПермьСтадион Звезда
12.09.2015,14:00,ЦСКА,Зенит,2:2 (2:1),ХимкиАрена Химки
30.08.2015,20:00,Кубань,ЦСКА,0:1 (0:0),КраснодарСтадион Кубань
30.08.2015,18:00,Мордовия,Рубин,2:1 (1:0),СамараСтадион Металлург
30.08.2015,13:30,Локомотив,ФК Краснодар,2:1 (1:1),МоскваСтадион Локомотив
29.08.2015,19:30,Спартак,Анжи,1:2 (0:1),МоскваОткрытие Арена
29.08.2015,17:00,Зенит,Крылья Советов,1:3 (0:1),Санкт-ПетербургСтадион Петровский
29.08.2015,14:00,Динамо,ФК Уфа,2:0 (1:0),ХимкиАрена Химки
28.08.2015,20:00,ФК Ростов,Амкар,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
28.08.2015,19:00,Урал,Терек,3:3 (2:2),ЕкатеринбургСКБ-Банк Арена
24.08.2015,20:00,Крылья Советов,Кубань,3:0 (1:0),СамараСтадион Металлург
24.08.2015,19:00,Рубин,Зенит,1:3 (0:1),КазаньЦентральный стадион
23.08.2015,20:00,ФК Краснодар,Мордовия,0:0,КраснодарСтадион Кубань
23.08.2015,15:30,ФК Уфа,Локомотив,0:3 (0:2),УфаСтадион Нефтяник
22.08.2015,20:30,Анжи,Урал,1:1 (0:1),КаспийскАнжи-Арена
22.08.2015,18:00,ЦСКА,ФК Ростов,2:1 (0:1),ХимкиАрена Химки
22.08.2015,17:00,Амкар,Спартак,1:3 (0:1),ПермьСтадион Звезда
21.08.2015,20:00,Терек,Динамо,1:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
17.08.2015,20:00,Мордовия,ФК Уфа,0:1 (0:0),СамараСтадион Металлург
16.08.2015,20:00,ФК Ростов,Крылья Советов,1:1 (1:0),Ростов-на-ДонуСтадион Олимп-2
16.08.2015,17:00,Динамо,Урал,1:0 (0:0),ХимкиАрена Химки
16.08.2015,13:30,Локомотив,Терек,0:0,МоскваСтадион Локомотив
15.08.2015,21:30,Кубань,Рубин,0:1 (0:1),КраснодарСтадион Кубань
15.08.2015,16:30,Зенит,ФК Краснодар,0:2 (0:1),Санкт-ПетербургСтадион Петровский
14.08.2015,21:30,Спартак,ЦСКА,1:2 (1:2),МоскваОткрытие Арена
14.08.2015,19:00,Амкар,Анжи,1:1 (0:0),ПермьСтадион Звезда
10.08.2015,20:15,ФК Краснодар,Кубань,1:1 (0:0),КраснодарСтадион Кубань
10.08.2015,18:00,Рубин,ФК Ростов,0:3 (0:2),КазаньЦентральный стадион
09.08.2015,20:00,Крылья Советов,Спартак,0:2 (0:1),СамараСтадион Металлург
09.08.2015,18:00,ФК Уфа,Зенит,0:1 (0:0),УфаСтадион Нефтяник
09.08.2015,13:30,ЦСКА,Амкар,2:0 (2:0),ХимкиАрена Химки
08.08.2015,20:00,Анжи,Динамо,2:3 (2:2),КаспийскАнжи-Арена
08.08.2015,19:00,Урал,Локомотив,1:3 (0:2),ЕкатеринбургСКБ-Банк Арена
07.08.2015,19:00,Терек,Мордовия,0:0,ГрозныйСтадион им. А.А. Кадырова
03.08.2015,19:00,Спартак,Рубин,1:0 (0:0),МоскваОткрытие Арена
02.08.2015,20:00,ФК Ростов,ФК Краснодар,0:0,Ростов-на-ДонуСтадион Олимп-2
02.08.2015,17:00,Мордовия,Урал,1:1 (0:1),СаранскСтадион Старт
02.08.2015,13:30,Локомотив,Динамо,1:1 (0:1),МоскваСтадион Локомотив
01.08.2015,19:30,ЦСКА,Анжи,1:0 (1:0),ХимкиАрена Химки
01.08.2015,17:00,Зенит,Терек,3:0 (2:0),Санкт-ПетербургСтадион Петровский
01.08.2015,16:00,Амкар,Крылья Советов,1:0 (1:0),ПермьСтадион Звезда
31.07.2015,20:00,Кубань,ФК Уфа,1:1 (1:0),КраснодарСтадион Кубань
27.07.2015,20:00,Анжи,Локомотив,1:3 (1:1),КаспийскАнжи-Арена
26.07.2015,20:00,ФК Краснодар,Спартак,0:1 (0:1),КраснодарСтадион Кубань
26.07.2015,17:00,Рубин,Амкар,0:2 (0:0),КазаньЦентральный стадион
26.07.2015,15:30,Урал,Зенит,1:4 (0:1),ЕкатеринбургСКБ-Банк Арена
25.07.2015,21:00,Терек,Кубань,1:1 (1:0),ГрозныйСтадион им. А.А. Кадырова
25.07.2015,18:30,Динамо,Мордовия,2:2 (2:1),ХимкиАрена Химки
25.07.2015,16:00,ФК Уфа,ФК Ростов,1:2 (0:0),СаранскСтадион Старт
24.07.2015,20:00,Крылья Советов,ЦСКА,0:2 (0:0),СамараСтадион Металлург
20.07.2015,20:00,Кубань,Урал,0:2 (0:0),КраснодарСтадион Кубань
20.07.2015,19:00,Амкар,ФК Краснодар,0:1 (0:0),ПермьСтадион Звезда
19.07.2015,21:00,Анжи,Крылья Советов,0:1 (0:0),КаспийскАнжи-Арена
19.07.2015,18:00,Мордовия,Локомотив,0:1 (0:0),СаранскСтадион Старт
19.07.2015,13:30,Зенит,Динамо,2:1 (1:1),Санкт-ПетербургСтадион Петровский
18.07.2015,21:00,ФК Ростов,Терек,1:1 (1:0),Ростов-на-ДонуСтадион Олимп-2
18.07.2015,18:30,ЦСКА,Рубин,1:0 (0:0),ХимкиАрена Химки
17.07.2015,19:00,Спартак,ФК Уфа,2:2 (1:1),МоскваОткрытие Арена
